,Price
37,"[43311, 43223, 43231, 43274, 43284, 43280, 43260, 43218, 43184, 43145, 43141, 43184, 43176, 43196, 43234, 43248, 43272, 43314, 43319, 43308, 43305, 43258, 43259, 43272, 43288, 43246, 43232, 43248, 43230, 43258, 43277, 43288, 43299, 43292, 43283, 43266, 43259, 43234, 43046, 42935, 42855, 42964, 42966, 43060, 43065, 43145, 43100, 43134, 43125, 43066, 43131, 43141, 43127, 43153, 43134, 43146, 43118, 43090, 43102, 43099]"
38,"[43277, 43288, 43299, 43292, 43283, 43266, 43259, 43234, 43046, 42935, 42855, 42964, 42966, 43060, 43065, 43145, 43100, 43134, 43125, 43066, 43131, 43141, 43127, 43153, 43134, 43146, 43118, 43090, 43102, 43099, 43096, 43125, 43165, 43191, 43213, 43213, 43200, 43205, 43211, 43210, 43280, 43250, 43249, 43274, 43310, 43281, 43321, 43411, 43467, 43451, 43440, 43381, 43415, 43499, 43518, 43557, 43508, 43449, 43579, 43578]"
39,"[43096, 43125, 43165, 43191, 43213, 43213, 43200, 43205, 43211, 43210, 43280, 43250, 43249, 43274, 43310, 43281, 43321, 43411, 43467, 43451, 43440, 43381, 43415, 43499, 43518, 43557, 43508, 43449, 43579, 43578, 43582, 43647, 43523, 43473, 43505, 43490, 43541, 43583, 43550, 43533, 43518, 43500, 43493, 43519, 43515, 43495, 43523, 43558, 43589, 43614, 43632, 43610, 43544, 43553, 43535, 43615, 43744, 43664, 43550, 43578]"
40,"[43582, 43647, 43523, 43473, 43505, 43490, 43541, 43583, 43550, 43533, 43518, 43500, 43493, 43519, 43515, 43495, 43523, 43558, 43589, 43614, 43632, 43610, 43544, 43553, 43535, 43615, 43744, 43664, 43550, 43578, 43651, 43646, 43610, 43627, 43611, 43549, 43585, 43600, 43587, 43605, 43581, 43520, 43510, 43509, 43499, 43513, 43435, 43422, 43386, 43525, 43594, 43585, 43544, 43492, 43505, 43490, 43526, 43570, 43603, 43609]"
41,"[43651, 43646, 43610, 43627, 43611, 43549, 43585, 43600, 43587, 43605, 43581, 43520, 43510, 43509, 43499, 43513, 43435, 43422, 43386, 43525, 43594, 43585, 43544, 43492, 43505, 43490, 43526, 43570, 43603, 43609, 43623, 43636, 43650, 43649, 43680, 43672, 43692, 43679, 43709, 43720, 43796, 43879, 43835, 43981, 43946, 43896, 44123, 44144, 44182, 44200, 44287, 44269, 44302, 44362, 44434, 44370, 44349, 44408, 44496, 44479]"
42,"[43623, 43636, 43650, 43649, 43680, 43672, 43692, 43679, 43709, 43720, 43796, 43879, 43835, 43981, 43946, 43896, 44123, 44144, 44182, 44200, 44287, 44269, 44302, 44362, 44434, 44370, 44349, 44408, 44496, 44479, 44449, 44357, 44280, 44218, 44242, 44245, 44277, 44255, 44180, 44179, 44203, 44266, 44290, 44351, 44332, 44292, 44387, 44531, 44523, 44425, 44453, 44546, 44525, 44579, 44504, 44535, 44647, 44659, 44624, 44640]"
43,"[44449, 44357, 44280, 44218, 44242, 44245, 44277, 44255, 44180, 44179, 44203, 44266, 44290, 44351, 44332, 44292, 44387, 44531, 44523, 44425, 44453, 44546, 44525, 44579, 44504, 44535, 44647, 44659, 44624, 44640, 44610, 44655, 44663, 44811, 44884, 44840, 44831, 44747, 44736, 44763, 44761, 44729, 44700, 44657, 44672, 44731, 44698, 44617, 44596, 44631, 44540, 44553, 44513, 44518, 44526, 44579, 44565, 44545, 44590, 44528]"
44,"[44610, 44655, 44663, 44811, 44884, 44840, 44831, 44747, 44736, 44763, 44761, 44729, 44700, 44657, 44672, 44731, 44698, 44617, 44596, 44631, 44540, 44553, 44513, 44518, 44526, 44579, 44565, 44545, 44590, 44528, 44530, 44512, 44590, 44624, 44646, 44625, 44573, 44535, 44497, 44453, 44490, 44486, 44494, 44505, 44469, 44531, 44531, 44573, 44541, 44563, 44580, 44594, 44605, 44636, 44651, 44589, 44609, 44549, 44495, 44416]"
45,"[44530, 44512, 44590, 44624, 44646, 44625, 44573, 44535, 44497, 44453, 44490, 44486, 44494, 44505, 44469, 44531, 44531, 44573, 44541, 44563, 44580, 44594, 44605, 44636, 44651, 44589, 44609, 44549, 44495, 44416, 44468, 44561, 44589, 44560, 44568, 44578, 44519, 44537, 44485, 44485, 44506, 44549, 44579, 44551, 44564, 44654, 44610, 44566, 44574, 44599, 44586, 44525, 44513, 44493, 44524, 44566, 44537, 44500, 44463, 44435]"
46,"[44468, 44561, 44589, 44560, 44568, 44578, 44519, 44537, 44485, 44485, 44506, 44549, 44579, 44551, 44564, 44654, 44610, 44566, 44574, 44599, 44586, 44525, 44513, 44493, 44524, 44566, 44537, 44500, 44463, 44435, 44511, 44449, 44177, 43930, 43959, 44010, 44100, 44112, 44213, 44256, 44188, 44072, 44082, 44128, 44149, 44072, 44040, 44112, 44073, 44050, 43992, 43880, 43751, 43883, 43877, 43848, 43961, 43920, 43893, 43808]"
47,"[44511, 44449, 44177, 43930, 43959, 44010, 44100, 44112, 44213, 44256, 44188, 44072, 44082, 44128, 44149, 44072, 44040, 44112, 44073, 44050, 43992, 43880, 43751, 43883, 43877, 43848, 43961, 43920, 43893, 43808, 43890, 43791, 43611, 43702, 43692, 43790, 43834, 43884, 43873, 43821, 43752, 43720, 43694, 43709, 43719, 43818, 43902, 43963, 44058, 44000, 44017, 44021, 43932, 43955, 43941, 43912, 43864, 43884, 43869, 43900]"
48,"[43890, 43791, 43611, 43702, 43692, 43790, 43834, 43884, 43873, 43821, 43752, 43720, 43694, 43709, 43719, 43818, 43902, 43963, 44058, 44000, 44017, 44021, 43932, 43955, 43941, 43912, 43864, 43884, 43869, 43900, 43834, 43849, 43944, 43914, 43803, 43777, 43736, 43747, 43755, 43751, 43694, 43650, 43592, 43606, 43552, 43503, 43435, 43370, 43383, 43431, 43422, 43510, 43468, 43588, 43646, 43646, 43634, 43587, 43661, 43643]"
49,"[43834, 43849, 43944, 43914, 43803, 43777, 43736, 43747, 43755, 43751, 43694, 43650, 43592, 43606, 43552, 43503, 43435, 43370, 43383, 43431, 43422, 43510, 43468, 43588, 43646, 43646, 43634, 43587, 43661, 43643, 43638, 43542, 43590, 43660, 43626, 43560, 43509, 43508, 43557, 43476, 43561, 43581, 43617, 43584, 43665, 43792, 43757, 43766, 43929, 43905, 43933, 43842, 43870, 43901, 43878, 43859, 43847, 43805, 43710, 43619]"
50,"[43638, 43542, 43590, 43660, 43626, 43560, 43509, 43508, 43557, 43476, 43561, 43581, 43617, 43584, 43665, 43792, 43757, 43766, 43929, 43905, 43933, 43842, 43870, 43901, 43878, 43859, 43847, 43805, 43710, 43619, 43564, 43513, 43461, 43406, 43425, 43377, 43437, 43480, 43462, 43494, 43515, 43473, 43507, 43438, 43479, 43334, 43346, 43326, 43359, 43341, 43257, 43355, 43344, 43324, 43341, 43275, 43250, 43372, 43367, 43385]"
51,"[43564, 43513, 43461, 43406, 43425, 43377, 43437, 43480, 43462, 43494, 43515, 43473, 43507, 43438, 43479, 43334, 43346, 43326, 43359, 43341, 43257, 43355, 43344, 43324, 43341, 43275, 43250, 43372, 43367, 43385, 43391, 43453, 43402, 43395, 43297, 43314, 43349, 43285, 43374, 43371, 43383, 43374, 43398, 43367, 43467, 43453, 43516, 43507, 43564, 43552, 43522, 43510, 43552, 43536, 43521, 43485, 43462, 43519, 43481, 43477]"
52,"[43391, 43453, 43402, 43395, 43297, 43314, 43349, 43285, 43374, 43371, 43383, 43374, 43398, 43367, 43467, 43453, 43516, 43507, 43564, 43552, 43522, 43510, 43552, 43536, 43521, 43485, 43462, 43519, 43481, 43477, 43426, 43454, 43482, 43541, 43550, 43540, 43523, 43559, 43561, 43561, 43563, 43586, 43577, 43547, 43568, 43571, 43562, 43572, 43664, 43741, 43812, 43813, 43745, 43695, 43691, 43610, 43604, 43626, 43614, 43643]"
53,"[43426, 43454, 43482, 43541, 43550, 43540, 43523, 43559, 43561, 43561, 43563, 43586, 43577, 43547, 43568, 43571, 43562, 43572, 43664, 43741, 43812, 43813, 43745, 43695, 43691, 43610, 43604, 43626, 43614, 43643, 43681, 43682, 43612, 43610, 43610, 43604, 43560, 43511, 43523, 43568, 43498, 43453, 43515, 43504, 43508, 43505, 43542, 43548, 43550, 43557, 43560, 43598, 43580, 43585, 43534, 43501, 43541, 43557, 43529, 43520]"
54,"[43681, 43682, 43612, 43610, 43610, 43604, 43560, 43511, 43523, 43568, 43498, 43453, 43515, 43504, 43508, 43505, 43542, 43548, 43550, 43557, 43560, 43598, 43580, 43585, 43534, 43501, 43541, 43557, 43529, 43520, 43609, 43622, 43603, 43648, 43657, 43705, 43727, 43728, 43757, 43728, 43717, 43740, 43691, 43720, 43762, 43829, 43830, 43796, 43749, 43773, 43806, 43785, 43776, 43781, 43797, 43809, 43832, 43850, 43832, 43803]"
55,"[43609, 43622, 43603, 43648, 43657, 43705, 43727, 43728, 43757, 43728, 43717, 43740, 43691, 43720, 43762, 43829, 43830, 43796, 43749, 43773, 43806, 43785, 43776, 43781, 43797, 43809, 43832, 43850, 43832, 43803, 43792, 43754, 43750, 43779, 43772, 43799, 43800, 43810, 43788, 43800, 43777, 43686, 43721, 43723, 43715, 43783, 43716, 43808, 43842, 43861, 43845, 43858, 43932, 43994, 43978, 44000, 43992, 44020, 44024, 43962]"
56,"[43792, 43754, 43750, 43779, 43772, 43799, 43800, 43810, 43788, 43800, 43777, 43686, 43721, 43723, 43715, 43783, 43716, 43808, 43842, 43861, 43845, 43858, 43932, 43994, 43978, 44000, 43992, 44020, 44024, 43962, 43933, 43897, 43875, 43844, 43840, 43840, 43803, 43797, 43897, 43859, 43834, 43818, 43859, 43843, 43852, 43833, 43813, 43809, 43773, 43752, 43735, 43690, 43703, 43700, 43694, 43711, 43698, 43689, 43717, 43719]"
